"codigo","nombre","pob_2010","viv_2010","hog_2010"
6028,"Almirante Brown",552902,156204,156918
6035,"Avellaneda",342677,121292,113142
6091,"Berazategui",324244,96025,93164
6098,"Berisso",88470,29507,27449
2001,"Comuna 1",205886,130771,84468
2010,"Comuna 10",166022,107967,61453
2011,"Comuna 11",189832,101161,71460
2012,"Comuna 12",200116,82926,78547
2013,"Comuna 13",231331,92750,100506
2014,"Comuna 14",225970,93368,102918
2015,"Comuna 15",182574,89520,72465
2002,"Comuna 2",157932,55377,73156
2003,"Comuna 3",187537,63322,80489
2004,"Comuna 4",218245,71572,76455
2005,"Comuna 5",179005,84649,76846
2006,"Comuna 6",176076,93409,75189
2007,"Comuna 7",220591,129633,81483
2008,"Comuna 8",187237,141222,58204
2009,"Comuna 9",161797,86326,56495
6245,"Ensenada",56729,19343,17443
6252,"Escobar",213619,65378,59981
6260,"Esteban Echeverría",300959,88153,85952
6270,"Ezeiza",163722,49204,44487
6274,"Florencio Varela",426005,113989,113135
6364,"General Rodríguez",87185,29309,24926
6371,"General San Martín",414196,138011,133202
6408,"Hurlingham",181241,55440,55122
6410,"Ituzaingó",167824,54363,51444
6412,"José C. Paz",265981,72231,71722
6427,"La Matanza",1775816,447306,484909
6441,"La Plata",654324,259352,221313
6434,"Lanús",459263,157867,149594
6490,"Lomas de Zamora",616279,188186,188844
6497,"Luján",106273,37527,32524
6515,"Malvinas Argentinas",322375,87283,89338
6539,"Merlo",528494,147221,147716
6560,"Moreno",452505,129560,124016
6568,"Morón",321109,117303,106902
6638,"Pilar",299077,93531,82671
6648,"Presidente Perón",81141,22499,21422
6658,"Quilmes",582943,182216,177110
6749,"San Fernando",163240,51910,49384
6756,"San Isidro",292878,107600,97213
6760,"San Miguel",276190,82879,80627
6778,"San Vicente",59478,19287,17116
6805,"Tigre",376381,118416,108558
6840,"Tres de Febrero",340071,119907,112588
6861,"Vicente López",269420,114728,99286
